"freq
References : ['phase(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.270 GHz,-134.681
1.270 GHz,-134.685
1.270 GHz,-134.689
1.271 GHz,-134.694
1.271 GHz,-134.699
1.271 GHz,-134.705
1.271 GHz,-134.711
1.272 GHz,-134.717
1.272 GHz,-134.724
1.272 GHz,-134.731
1.273 GHz,-134.739
1.273 GHz,-134.747
1.273 GHz,-134.755
1.273 GHz,-134.763
1.274 GHz,-134.771
1.274 GHz,-134.779
1.274 GHz,-134.788
1.274 GHz,-134.796
1.275 GHz,-134.805
1.275 GHz,-134.813
1.275 GHz,-134.822
1.276 GHz,-134.830
1.276 GHz,-134.838
1.276 GHz,-134.847
1.276 GHz,-134.855
1.277 GHz,-134.862
1.277 GHz,-134.870
1.277 GHz,-134.877
1.278 GHz,-134.884
1.278 GHz,-134.891
1.278 GHz,-134.897
1.278 GHz,-134.903
1.279 GHz,-134.908
1.279 GHz,-134.913
1.279 GHz,-134.918
1.280 GHz,-134.922
1.280 GHz,-134.925
1.280 GHz,-134.928
1.280 GHz,-134.931
1.281 GHz,-134.933
1.281 GHz,-134.934
1.281 GHz,-134.936
1.282 GHz,-134.937
